Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1522,1536,1734,2497,1713,1705,2005,2432,1647,1774,2181,2727
Expenses,1448,1473,1590,2286,1626,1636,1822,2221,1589,1683,2060,2588
Operating Profit,73,63,144,211,87,69,183,211,58,91,121,139
OPM %,4.8,4.1,8,8,5,4.1,9,9,3.5,5,6,5
Other Income,34,36,41,51,49,51,47,54,60,3,53,69
Interest,6,9,9,10,11,9,14,15,8,10,12,15
Depreciation,49,47,62,56,52,51,54,54,52,51,53,54
Profit before tax,52,42,114,196,73,59,162,196,58,33,110,139
Tax %,27,29,30,26,27,25,26,26,27,18,27,26
Net Profit,38,30,79,145,54,45,119,146,42,27,80,103
EPS in Rs,2.88,2.21,6.12,11.34,4.1,3.46,9.4,11.49,3.26,2.09,6.32,8.11
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4832,5398,5993,5900,6197,6668,6830,7919,8034,8329,,
Expenses,4271,4755,5319,5379,5781,6297,6427,7369,7553,7920,,
Operating Profit,561,642,673,521,416,371,403,550,481,409,,
OPM %,12,12,11,9,7,6,6,7,6,4.9,,
Other Income,86,107,143,106,398,127,145,198,170,185,,
Interest,4,9,20,15,16,15,30,45,45,45,,
Depreciation,102,111,129,142,147,185,210,213,209,210,,
Profit before tax,541,629,667,470,650,297,307,490,397,339,,
Tax %,35,35,26,25,13,25,27,26,26,—,,
Net Profit,351,410,490,352,567,224,224,363,295,252,,
EPS in Rs,27.64,32.3,38.64,27.73,44.64,17.26,17.11,28.3,23.15,19.78,,
Dividend Payout %,14,15,13,18,11,29,29,18,22,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,127,127,127,127,127,127,127,127,127,,,
Reserves,1669,2019,2437,2731,3231,3393,3562,3823,4034,,,
Borrowings,0,0,0,51,134,112,231,284,359,,,
Other Liabilities,1429,1566,1837,2139,2142,2268,2165,2489,2816,,,
Total Liabilities,3226,3712,4400,5048,5634,5900,6084,6723,7335,,,
Fixed Assets,446,508,709,707,1803,1917,1932,1913,1960,,,
CWIP,33,43,44,41,76,20,21,49,203,,,
Investments,456,659,567,207,0,0,0,0,0,,,
Other Assets,2291,2501,3080,4093,3754,3963,4131,4761,5172,,,
Total Assets,3226,3712,4400,5048,5634,5900,6084,6723,7335,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,384,402,380,524,98,270,610,571,298,,,
Cash from Investing Activity,-415,-262,-72,338,-459,-101,62,61,-2029,,,
Cash from Financing Activity,-46,-62,-87,-75,-89,-101,-117,-307,-212,,,
Net Cash Flow,-77,79,221,786,-450,68,555,325,-1943,,,
Free Cash Flow,229,216,75,425,-70,90,544,452,37,,,
CFO/OP,105,99,87,125,46,92,168,129,86,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,18,17,20,23,25,24,18,24,34,,,
Inventory Days,99,96,117,124,114,120,99,93,103,,,
Days Payable,140,134,143,161,129,131,110,119,128,,,
Cash Conversion Cycle,-24,-20,-7,-14,10,13,8,-3,9,,,
Working Capital Days,-8,-7,3,-1,13,16,1,-5,0,,,
ROCE %,—,32,29,18,10,8,9,13,11,,,
