Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,832,810,610,847,1051,1082,919,1054
Expenses,698,626,838,923,870,846,890,1111
Operating Profit,134,184,-229,-76,181,236,29,-57
OPM %,16,23,-38,-9,17,22,3.1,-5
Other Income,31,40,25,55,47,41,36,109
Interest,13,19,28,33,25,21,23,26
Depreciation,89,93,98,98,105,113,122,111
Profit before tax,62,111,-330,-152,99,144,-81,-84
Tax %,34,31,-12,-16,29,29,-14,5
Net Profit,41,77,-289,-127,70,102,-69,-88
EPS in Rs,7.42,15.11,-1.34,-0.55,0.33,0.35,-0.26,-0.27
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,,
Sales,233,744,1940,2887,3900,4106,,
Expenses,99,766,2916,2688,3530,3717,,
Operating Profit,134,-22,-975,199,370,389,,
OPM %,57,-2.9,-50,7,9,9,,
Other Income,2,28,146,-6,179,233,,
Interest,0,21,65,85,102,94,,
Depreciation,4,75,298,366,437,450,,
Profit before tax,132,-89,-1193,-259,10,78,,
Tax %,25,-6,-5,-6,344,—,,
Net Profit,98,-84,-1131,-243,-24,15,,
EPS in Rs,16.37,-13.57,-173.43,-0.99,-0.08,0.15,,
Dividend Payout %,0,0,0,0,0,—,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,,,
Equity Capital,6,6,6,218,286,,,
Reserves,100,-189,-1253,472,4234,,,
Borrowings,0,956,1687,1831,1052,,,
Other Liabilities,67,1307,2040,1647,2104,,,
Total Liabilities,173,2080,2481,4168,7677,,,
Fixed Assets,27,1121,1464,1586,1833,,,
CWIP,6,5,0,9,5,,,
Investments,24,205,173,1401,2426,,,
Other Assets,116,748,844,1172,3413,,,
Total Assets,173,2080,2481,4168,7677,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,,,
Cash from Operating Activity,59,270,212,507,833,,,
Cash from Investing Activity,-58,-1076,-43,-1513,-3282,,,
Cash from Financing Activity,0,848,-165,1007,2755,,,
Net Cash Flow,1,42,4,0,306,,,
Free Cash Flow,37,124,1,340,494,,,
CFO/OP,69,-1354,-22,256,233,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,,,
Debtor Days,0,6,7,5,8,,,
Inventory Days,—,174,—,—,—,,,
Days Payable,—,398,—,—,—,,,
Cash Conversion Cycle,0,-217,7,5,8,,,
Working Capital Days,-82,-214,-112,-88,227,,,
ROCE %,—,-15,-172,-3,4,,,
