Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,17535,18819,21863,17324,18585,21847,26098,20667
Expenses,15828,16786,19432,15248,16553,19260,22771,17395
Operating Profit,1707,2033,2431,2076,2032,2587,3327,3272
OPM %,10,11,11,12,11,12,13,16
Other Income,206,407,72,332,-1865,-981,-28,341
Interest,408,352,319,254,256,198,166,135
Depreciation,541,557,592,480,472,483,510,508
Profit before tax,964,1531,1592,1674,-561,925,2623,2970
Tax %,48,12,16,17,55,24,32,14
Net Profit,498,1355,1340,1397,-867,705,1793,2556
EPS in Rs,—,—,—,—,—,1.91,4.87,6.95
Item,Mar 2025 10m,Mar 2026,TTM,,,,,
---,---,---,---,,,,,
Sales,58217,83855,87197,,,,,
Expenses,52045,76238,75979,,,,,
Operating Profit,6172,7617,11218,,,,,
OPM %,11,9,13,,,,,
Other Income,685,-135,-2533,,,,,
Interest,1079,874,755,,,,,
Depreciation,1690,1945,1973,,,,,
Profit before tax,4088,4663,5957,,,,,
Tax %,22,35,—,,,,,
Net Profit,3195,3030,4187,,,,,
EPS in Rs,—,8.23,—,,,,,
Dividend Payout %,0,49,—,,,,,
Item,Mar 2025,Mar 2026,,,,,,
---,---,---,,,,,,
Equity Capital,0,736,,,,,,
Reserves,10533,11998,,,,,,
Borrowings,9925,5615,,,,,,
Other Liabilities,26393,33960,,,,,,
Total Liabilities,46851,52309,,,,,,
Fixed Assets,13664,13962,,,,,,
CWIP,1875,2026,,,,,,
Investments,5282,13283,,,,,,
Other Assets,26030,23038,,,,,,
Total Assets,46851,52309,,,,,,
Item,Mar 2025,Mar 2026,,,,,,
---,---,---,,,,,,
Cash from Operating Activity,8547,14981,,,,,,
Cash from Investing Activity,456,-3892,,,,,,
Cash from Financing Activity,-7970,-5223,,,,,,
Net Cash Flow,1033,5866,,,,,,
Free Cash Flow,7005,12878,,,,,,
CFO/OP,139,209,,,,,,
Item,Mar 2025,Mar 2026,,,,,,
---,---,---,,,,,,
Debtor Days,19,12,,,,,,
Inventory Days,43,35,,,,,,
Days Payable,134,101,,,,,,
Cash Conversion Cycle,-72,-54,,,,,,
Working Capital Days,-44,-89,,,,,,
ROCE %,—,36,,,,,,
