Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,864,815,917,947,1027,1017,1073,1234,1180,1179,1381,1426
Expenses,791,745,836,856,928,925,964,1116,1067,1072,1248,1302
Operating Profit,74,70,80,91,99,91,109,118,113,107,133,124
OPM %,9,9,9,10,10,9,10,10,10,9,10,9
Other Income,5,4,6,6,5,9,5,43,6,-6,53,47
Interest,2,2,2,2,2,3,3,5,3,3,8,6
Depreciation,14,14,18,19,19,19,24,31,25,25,31,32
Profit before tax,62,58,66,76,82,79,87,126,91,72,147,133
Tax %,25,29,26,24,23,23,26,16,24,24,19,19
Net Profit,46,41,49,58,63,60,64,105,69,55,119,108
EPS in Rs,3.23,2.87,3.41,4.01,4.38,4.18,4.48,7.33,4.81,3.81,8.23,6.06
Item,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,,,,
---,---,---,---,---,,,,,,,,
Sales,3403,4063,4667,5165,,,,,,,,
Expenses,3110,3674,4229,4688,,,,,,,,
Operating Profit,293,390,438,477,,,,,,,,
OPM %,9,10,9,9,,,,,,,,
Other Income,19,26,13,100,,,,,,,,
Interest,8,10,14,20,,,,,,,,
Depreciation,60,81,100,113,,,,,,,,
Profit before tax,244,324,336,444,,,,,,,,
Tax %,27,24,25,—,,,,,,,,
Net Profit,179,245,252,351,,,,,,,,
EPS in Rs,12.44,17.05,17.56,22.91,,,,,,,,
Dividend Payout %,32,28,28,—,,,,,,,,
Item,Mar 2024,Mar 2025,Mar 2026,,,,,,,,,
---,---,---,---,,,,,,,,,
Equity Capital,14,14,14,,,,,,,,,
Reserves,988,1169,1354,,,,,,,,,
Borrowings,75,69,148,,,,,,,,,
Other Liabilities,702,770,911,,,,,,,,,
Total Liabilities,1779,2022,2428,,,,,,,,,
Fixed Assets,543,641,781,,,,,,,,,
CWIP,56,76,100,,,,,,,,,
Investments,103,39,121,,,,,,,,,
Other Assets,1078,1267,1427,,,,,,,,,
Total Assets,1779,2022,2428,,,,,,,,,
Item,Mar 2024,Mar 2025,Mar 2026,,,,,,,,,
---,---,---,---,,,,,,,,,
Cash from Operating Activity,177,204,345,,,,,,,,,
Cash from Investing Activity,-129,-149,-248,,,,,,,,,
Cash from Financing Activity,-28,-81,-19,,,,,,,,,
Net Cash Flow,20,-26,78,,,,,,,,,
Free Cash Flow,16,0,108,,,,,,,,,
CFO/OP,84,73,97,,,,,,,,,
Item,Mar 2024,Mar 2025,Mar 2026,,,,,,,,,
---,---,---,---,,,,,,,,,
Debtor Days,53,54,53,,,,,,,,,
Inventory Days,43,44,43,,,,,,,,,
Days Payable,84,76,78,,,,,,,,,
Cash Conversion Cycle,12,22,18,,,,,,,,,
Working Capital Days,28,37,22,,,,,,,,,
ROCE %,—,28,26,,,,,,,,,
