Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,231,220,253,488,604,676,840,549,556,545,619,422
Expenses,133,154,180,363,398,439,611,437,435,449,520,421
Operating Profit,98,66,73,125,205,237,229,112,121,95,99,1
OPM %,42,30,29,26,34,35,27,20,22,18,16,0.3
Other Income,20,14,17,19,16,22,-4,6,16,1,-18,12
Interest,0,2,2,10,10,11,10,10,9,9,9,7
Depreciation,12,13,17,31,38,44,54,45,44,47,51,50
Profit before tax,105,65,71,103,174,205,161,63,84,41,20,-43
Tax %,25,29,25,27,21,25,27,26,21,29,58,5
Net Profit,80,47,53,75,138,153,117,46,66,29,8,-45
EPS in Rs,3.13,1.84,2.1,2.96,5.44,6.01,4.73,1.28,1.94,0.96,0.51,-0.63
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,378,834,1010,1320,1340,1051,2608,2269,2142,,,
Expenses,206,449,567,738,766,645,1811,1841,1825,,,
Operating Profit,172,385,443,582,574,406,797,427,316,,,
OPM %,45,46,44,44,43,39,31,19,15,,,
Other Income,1,66,68,133,46,62,53,4,11,,,
Interest,3,23,12,9,13,7,41,37,34,,,
Depreciation,12,24,32,39,48,55,167,187,192,,,
Profit before tax,158,405,468,668,560,406,643,207,101,,,
Tax %,31,22,23,32,27,26,25,27,—,,,
Net Profit,109,317,362,454,411,300,484,150,59,,,
EPS in Rs,—,12.45,14.23,17.83,16.16,11.8,19.14,4.68,2.78,,,
Dividend Payout %,0,20,14,28,37,0,0,0,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,0,13,25,25,25,25,25,38,,,,
Reserves,578,832,1155,1502,1710,2025,3623,3873,,,,
Borrowings,83,186,143,97,70,65,486,400,,,,
Other Liabilities,123,142,151,205,160,138,1346,1415,,,,
Total Liabilities,783,1173,1474,1830,1966,2254,5480,5727,,,,
Fixed Assets,271,357,441,534,663,670,3107,3369,,,,
CWIP,111,102,96,30,165,179,334,178,,,,
Investments,7,338,542,598,536,904,337,529,,,,
Other Assets,394,376,395,667,601,501,1702,1652,,,,
Total Assets,783,1173,1474,1830,1966,2254,5480,5727,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,50,407,383,330,457,358,673,368,,,,
Cash from Investing Activity,-65,-413,-311,-136,-195,-362,-388,-251,,,,
Cash from Financing Activity,26,7,-76,-156,-242,-14,-327,-165,,,,
Net Cash Flow,11,1,-5,37,20,-18,-42,-48,,,,
Free Cash Flow,-6,304,272,255,171,307,357,169,,,,
CFO/OP,49,128,111,88,105,115,107,102,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,142,51,37,65,30,46,108,110,,,,
Inventory Days,556,278,243,259,279,268,209,310,,,,
Days Payable,190,113,100,97,63,49,120,157,,,,
Cash Conversion Cycle,509,217,180,228,247,265,197,263,,,,
Working Capital Days,205,64,56,108,99,115,106,133,,,,
ROCE %,—,50,40,41,32,19,21,6,,,,
