Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3323,1516,2783,3632,2348,4202,1374,4351
Expenses,3317,1539,2749,3625,2332,4272,1258,4351
Operating Profit,6,-23,34,6,16,-70,116,0
OPM %,0.2,-1.5,1.2,0.2,0.7,-1.7,8,0
Other Income,37,51,1,20,30,101,-77,32
Interest,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0
Profit before tax,43,28,35,26,45,31,39,32
Tax %,15,-4,8,10,10,10,10,11
Net Profit,37,29,32,23,41,28,35,28
EPS in Rs,0.39,0.31,0.34,0.25,0.43,0.29,0.37,0.3
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---,---
Sales,3074,9253,8496,8435,11841,10710,11556,12275
Expenses,3059,9323,8726,8471,11705,10578,11424,12214
Operating Profit,15,-71,-230,-36,136,131,132,61
OPM %,0.5,-0.8,-2.7,-0.4,1.1,1.2,1.1,0.5
Other Income,104,184,256,155,11,19,29,85
Interest,6,6,0,0,0,0,0,0
Depreciation,8,13,17,19,23,22,20,0
Profit before tax,105,95,10,100,124,128,141,146
Tax %,0,0,0,9,9,9,10,—
Net Profit,105,95,10,91,113,117,127,131
EPS in Rs,1.11,1,0.11,0.96,1.19,1.23,1.33,1.39
Dividend Payout %,0,0,278,31,34,32,30,—
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Equity Capital,950,950,950,950,950,950,950,
Reserves,239,330,340,403,469,567,655,
Borrowings,0,0,0,0,0,0,250,
Other Liabilities,14757,21306,25925,29957,37332,41397,46201,
Total Liabilities,15946,22586,27215,31310,38751,42914,48057,
Fixed Assets,32,37,70,73,77,42,31,
CWIP,4,7,4,5,2,4,6,
Investments,15374,21871,26266,30179,37357,41166,46118,
Other Assets,536,671,875,1053,1314,1702,1901,
Total Assets,15946,22586,27215,31310,38751,42914,48057,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Cash from Operating Activity,—,2340,1998,2592,2310,1208,3534,
Cash from Investing Activity,—,-2236,-1929,-2518,-2045,-714,-3666,
Cash from Financing Activity,—,0,0,-28,-48,-19,212,
Net Cash Flow,—,103,69,46,218,474,80,
Free Cash Flow,—,2319,1980,2568,2283,1197,3523,
CFO/OP,—,-3306,-871,-7284,1708,930,2687,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Debtor Days,0,0,0,0,0,1,0,
Cash Conversion Cycle,0,0,0,0,0,1,0,
Working Capital Days,-4,-15,-6,-5,-3,-2,-5,
ROCE %,—,8,1,8,9,9,8,
