Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1447,1224,1433,1709,1560,1436,1621,1895,1896
Expenses,1279,1139,1317,1469,1237,1169,1336,1530,1598
Operating Profit,168,84,116,240,323,268,285,365,299
OPM %,12,7,8,14,21,19,18,19,16
Other Income,24,27,28,28,-1444,34,67,22,86
Interest,110,109,116,114,102,100,87,89,97
Depreciation,74,77,81,79,78,80,81,84,98
Profit before tax,8,-75,-53,76,-1302,121,184,215,190
Tax %,394,2,51,79,5,38,29,-68,19
Net Profit,-24,-76,-80,16,-1366,75,131,362,153
EPS in Rs,-0.15,-0.63,-0.68,0.34,-13.31,0.63,1.04,2.72,1.18
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,
---,---,---,---,---,---,---,---,---,
Sales,2897,3853,4634,5810,6002,5785,6501,6849,
Expenses,2294,3024,3878,5147,5149,5169,5259,5633,
Operating Profit,603,829,756,663,853,617,1242,1216,
OPM %,21,22,16,11,14,11,19,18,
Other Income,39,20,195,145,85,100,-1323,209,
Interest,268,291,315,310,435,450,378,373,
Depreciation,145,179,238,373,278,310,322,342,
Profit before tax,230,379,398,125,224,-44,-781,711,
Tax %,33,34,41,17,72,275,2,—,
Net Profit,154,250,233,104,62,-164,-799,721,
EPS in Rs,1.56,2.53,2.48,1.39,0.91,-1.12,-5.55,5.57,
Dividend Payout %,0,0,0,0,0,0,-89,—,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,,
Equity Capital,986,986,986,986,986,986,1341,,
Reserves,540,839,1144,1306,1478,1366,5209,,
Borrowings,2969,3189,4622,5641,6254,6563,4464,,
Other Liabilities,1675,1895,2468,2203,2498,2966,3370,,
Total Liabilities,6169,6909,9221,10136,11216,11881,14385,,
Fixed Assets,3293,4224,4573,4645,6189,6785,8480,,
CWIP,920,294,876,1591,770,1038,976,,
Investments,320,354,484,714,759,345,290,,
Other Assets,1636,2036,3288,3186,3498,3714,4639,,
Total Assets,6169,6909,9221,10136,11216,11881,14385,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,,
Cash from Operating Activity,723,783,339,653,1408,737,1170,,
Cash from Investing Activity,-765,-686,-1530,-1808,-1120,-558,-1649,,
Cash from Financing Activity,119,-95,1260,1041,-221,-232,861,,
Net Cash Flow,77,1,69,-114,67,-53,382,,
Free Cash Flow,169,170,-715,-979,476,-409,-791,,
CFO/OP,127,101,54,115,177,125,95,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,,
Debtor Days,53,59,60,45,48,49,48,,
Inventory Days,261,128,143,104,132,105,132,,
Days Payable,448,334,336,253,339,305,317,,
Cash Conversion Cycle,-134,-147,-133,-103,-159,-150,-136,,
Working Capital Days,-115,-106,-24,-29,-116,-95,-90,,
ROCE %,—,15,12,6,8,5,11,,
