Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1736,1669,1728,1894,2096,2308,2516,2714
Expenses,1449,1459,1436,1558,1683,1845,1979,2126
Operating Profit,286,210,292,336,413,462,536,588
OPM %,16,13,17,18,20,20,21,22
Other Income,70,32,212,42,33,35,49,69
Interest,26,34,48,41,45,49,44,53
Depreciation,196,199,215,237,253,270,288,305
Profit before tax,134,8,241,100,148,178,254,300
Tax %,36,77,9,39,30,26,20,24
Net Profit,86,2,220,61,103,133,204,228
EPS in Rs,11.08,0.02,2.84,0.78,1.24,0.76,1.15,1.28
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---,---
Sales,900,905,1503,3788,5428,6653,8814,9634
Expenses,932,952,1617,3524,4748,5676,7060,7633
Operating Profit,-32,-47,-115,264,680,977,1754,2000
OPM %,-3.6,-5,-8,7,13,15,20,21
Other Income,69,127,116,140,175,351,153,186
Interest,4,7,23,83,124,146,178,191
Depreciation,27,39,85,418,672,797,1048,1116
Profit before tax,6,33,-108,-97,59,385,680,880
Tax %,0,0,0,-39,117,23,26,—
Net Profit,6,29,-102,-64,-10,297,501,668
EPS in Rs,0.83,3.79,-13.39,-8.34,-2.26,3.83,2.84,4.43
Dividend Payout %,0,0,0,0,0,0,0,—
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Equity Capital,15,15,15,15,15,154,347,
Reserves,2333,2363,2918,5441,5467,5777,8391,
Borrowings,14,30,34,934,2343,2740,3097,
Other Liabilities,221,393,733,3071,1661,1718,2410,
Total Liabilities,2583,2802,3700,9462,9487,10390,14245,
Fixed Assets,155,337,649,5067,5501,6231,7740,
CWIP,1,5,133,134,71,107,112,
Investments,1353,841,1048,787,1003,1038,571,
Other Assets,1074,1618,1869,3474,2912,3014,5822,
Total Assets,2583,2802,3700,9462,9487,10390,14245,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Cash from Operating Activity,-89,-117,-183,95,487,1231,1670,
Cash from Investing Activity,-1915,115,-421,-2586,163,-262,-2551,
Cash from Financing Activity,2019,-16,604,2777,-722,-535,1201,
Net Cash Flow,15,-18,0,285,-72,434,319,
Free Cash Flow,-138,-227,-430,-318,55,805,846,
CFO/OP,273,242,150,45,80,137,109,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Debtor Days,73,13,21,27,23,7,7,
Inventory Days,109,233,141,163,148,198,150,
Days Payable,94,136,109,154,111,135,138,
Cash Conversion Cycle,88,110,53,36,60,69,19,
Working Capital Days,169,352,115,57,11,-5,53,
ROCE %,—,2,-3,0,2,6,8,
