Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,567,620,640,643,657,724,740,781,815,858,894
Expenses,405,494,467,454,476,498,502,511,536,563,604
Operating Profit,162,126,173,189,181,226,238,270,279,295,290
OPM %,29,20,27,29,28,31,32,35,34,34,32
Other Income,6,15,4,5,27,3,3,4,6,5,6
Interest,26,32,26,22,21,21,18,16,23,13,10
Depreciation,19,27,28,28,28,28,28,30,32,34,34
Profit before tax,124,81,122,144,160,180,195,228,229,253,251
Tax %,18,21,22,21,19,18,22,21,20,19,23
Net Profit,102,64,95,113,130,148,152,181,183,206,194
EPS in Rs,5.94,3.72,5.57,6.59,7.56,8.61,8.83,10.53,10.68,12,11.29
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,,,
Sales,529,553,764,1031,1818,2664,3194,3347,,,
Expenses,367,348,466,639,1297,1893,2110,2213,,,
Operating Profit,162,205,298,392,521,771,1084,1134,,,
OPM %,31,37,39,38,29,29,34,34,,,
Other Income,31,16,1,-2,40,39,17,20,,,
Interest,7,8,7,6,61,91,72,62,,,
Depreciation,40,30,23,25,59,113,124,131,,,
Profit before tax,145,183,269,359,442,606,905,961,,,
Tax %,5,9,13,15,16,20,20,—,,,
Net Profit,137,165,233,305,370,486,722,764,,,
EPS in Rs,166.73,200.1,13.61,17.86,21.68,28.33,42.03,44.5,,,
Dividend Payout %,0,12,393,55,0,0,0,—,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,,,,
Equity Capital,8,8,17,17,17,17,17,,,,
Reserves,275,449,630,812,1141,1773,2783,,,,
Borrowings,0,76,65,52,1311,856,753,,,,
Other Liabilities,151,53,75,107,411,274,605,,,,
Total Liabilities,434,586,788,988,2880,2919,4158,,,,
Fixed Assets,36,87,76,59,1833,1790,1942,,,,
CWIP,0,0,0,0,3,13,6,,,,
Investments,1,14,16,32,195,114,377,,,,
Other Assets,397,485,695,898,849,1003,1832,,,,
Total Assets,434,586,788,988,2880,2919,4158,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,163,175,233,288,210,318,674,,,,
Cash from Investing Activity,-79,-167,-82,-158,-1137,241,-222,,,,
Cash from Financing Activity,-41,-37,-59,-152,780,-389,-412,,,,
Net Cash Flow,43,-28,92,-22,-147,170,39,,,,
Free Cash Flow,152,168,222,280,177,276,614,,,,
CFO/OP,118,100,93,93,58,56,80,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,,,,
Debtor Days,51,49,46,57,73,73,65,,,,
Cash Conversion Cycle,51,49,46,57,73,73,65,,,,
Working Capital Days,20,41,15,21,-75,10,-31,,,,
ROCE %,—,47,47,50,30,27,32,,,,
