Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1269,1289,1301,1269,1296,1317,1286,1244,1323,1366,1572,1665
Expenses,1055,1053,1061,1038,1061,1083,1052,1044,1116,1173,1320,1397
Operating Profit,214,237,240,231,236,234,233,200,208,193,252,267
OPM %,17,18,18,18,18,18,18,16,16,14,16,16
Other Income,30,31,24,23,16,28,61,68,54,-125,94,46
Interest,5,5,4,5,5,6,5,5,5,9,16,15
Depreciation,26,27,29,30,30,30,31,31,31,36,47,47
Profit before tax,213,235,231,220,217,226,258,233,226,23,283,252
Tax %,25,28,32,26,28,25,27,27,27,71,28,28
Net Profit,160,170,157,162,157,169,189,170,166,7,204,181
EPS in Rs,3.95,4.2,3.88,3.99,3.88,4.16,4.66,4.2,4.08,0.16,5.03,4.45
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,2942,2852,2381,3530,4414,5117,5168,5506,5926,,,
Expenses,2437,2382,1995,2884,3593,4176,4234,4653,5006,,,
Operating Profit,505,470,386,646,821,941,934,853,920,,,
OPM %,17,16,16,18,19,18,18,15,16,,,
Other Income,36,36,39,49,88,116,128,91,69,,,
Interest,1,16,18,22,18,19,20,34,45,,,
Depreciation,69,99,92,86,95,106,121,145,160,,,
Profit before tax,471,392,315,587,796,932,921,765,784,,,
Tax %,25,36,24,26,22,27,27,29,—,,,
Net Profit,353,252,239,437,624,679,677,547,557,,,
EPS in Rs,—,—,—,—,15.38,16.75,16.69,13.46,13.72,,,
Dividend Payout %,18,66,0,0,0,60,70,87,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,42,42,42,42,81,81,81,81,,,,
Reserves,1715,1811,2100,2238,2908,3140,3498,3842,,,,
Borrowings,0,258,266,261,255,257,237,938,,,,
Other Liabilities,512,462,1164,1676,1957,2100,2848,3999,,,,
Total Liabilities,2269,2573,3573,4218,5201,5578,6664,8860,,,,
Fixed Assets,819,1119,1090,1068,1095,1151,1130,2055,,,,
CWIP,25,0,0,0,3,0,0,15,,,,
Investments,39,36,497,528,30,150,616,823,,,,
Other Assets,1386,1417,1986,2622,4074,4277,4918,5966,,,,
Total Assets,2269,2573,3573,4218,5201,5578,6664,8860,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,369,267,1113,-39,401,294,699,776,,,,
Cash from Investing Activity,-19,-3,-664,70,-440,400,-65,-776,,,,
Cash from Financing Activity,-221,-261,-44,-44,-347,-557,-486,16,,,,
Net Cash Flow,129,4,405,-13,-385,137,148,15,,,,
Free Cash Flow,320,214,1099,-102,336,204,669,743,,,,
CFO/OP,108,85,317,14,78,63,108,112,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,71,93,91,79,91,82,71,79,,,,
Inventory Days,0,0,0,0,0,0,0,0,,,,
Days Payable,312,—,—,—,—,—,—,—,,,,
Cash Conversion Cycle,-241,93,91,79,91,82,71,79,,,,
Working Capital Days,55,61,-12,-12,66,56,34,33,,,,
ROCE %,—,22,15,25,28,28,26,21,,,,
