Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,250,278,260,250,265,305,301,304,320,369,371
Expenses,121,105,133,103,113,109,127,128,128,133,147
Operating Profit,128,173,127,147,152,196,174,176,191,236,224
OPM %,51,62,49,59,57,64,58,58,60,64,60
Other Income,9,12,3,9,12,8,14,12,11,18,16
Interest,4,3,2,2,1,3,2,2,2,3,3
Depreciation,13,12,13,6,10,10,10,11,12,13,14
Profit before tax,121,171,114,147,153,191,175,175,188,239,223
Tax %,35,26,32,26,26,26,28,26,29,25,26
Net Profit,78,126,78,110,114,141,127,130,135,180,166
EPS in Rs,—,—,1.96,2.76,2.63,3.26,2.93,3,3.11,4.16,3.84
Item,Dec 2022,Dec 2023,Dec 2024,Mar 2026 15m,TTM,,,,,,
---,---,---,---,---,---,,,,,,
Sales,491,898,1053,1598,1363,,,,,,
Expenses,156,401,453,623,536,,,,,,
Operating Profit,335,497,600,974,827,,,,,,
OPM %,68,55,57,61,61,,,,,,
Other Income,8,11,35,63,58,,,,,,
Interest,3,11,9,13,10,,,,,,
Depreciation,12,42,41,56,50,,,,,,
Profit before tax,329,455,585,969,825,,,,,,
Tax %,27,27,27,27,—,,,,,,
Net Profit,242,331,427,711,610,,,,,,
EPS in Rs,—,—,9.89,16.46,14.11,,,,,,
Dividend Payout %,0,0,25,15,—,,,,,,
Item,Dec 2022,Dec 2023,Dec 2024,Mar 2026,,,,,,,
---,---,---,---,---,,,,,,,
Equity Capital,0.4,0.4,86,86,,,,,,,
Reserves,339,-605,976,1402,,,,,,,
Borrowings,27,151,145,143,,,,,,,
Other Liabilities,43,1484,296,223,,,,,,,
Total Liabilities,409,1031,1504,1853,,,,,,,
Fixed Assets,110,384,384,539,,,,,,,
CWIP,0,20,36,62,,,,,,,
Investments,0,0,0,0,,,,,,,
Other Assets,299,627,1084,1253,,,,,,,
Total Assets,409,1031,1504,1853,,,,,,,
Item,Dec 2022,Dec 2023,Dec 2024,Mar 2026,,,,,,,
---,---,---,---,---,,,,,,,
Cash from Operating Activity,194,303,393,624,,,,,,,
Cash from Investing Activity,-43,-85,-1634,-320,,,,,,,
Cash from Financing Activity,-154,-162,1188,-362,,,,,,,
Net Cash Flow,-2,55,-52,-58,,,,,,,
Free Cash Flow,183,248,355,543,,,,,,,
CFO/OP,87,90,91,94,,,,,,,
Item,Dec 2022,Dec 2023,Dec 2024,Mar 2026,,,,,,,
---,---,---,---,---,,,,,,,
Debtor Days,47,51,57,66,,,,,,,
Cash Conversion Cycle,47,51,57,66,,,,,,,
Working Capital Days,28,-536,113,113,,,,,,,
ROCE %,—,—,158,69,,,,,,,
