Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1169,1125,1326,1286,1281,1285,1552,1545
Expenses,963,947,1107,1057,1064,1063,1295,1298
Operating Profit,205,178,219,229,217,223,257,247
OPM %,18,16,17,18,17,17,17,16
Other Income,1,19,6,31,12,-22,11,9
Interest,4,5,7,7,11,7,9,8
Depreciation,25,27,26,25,26,28,29,28
Profit before tax,177,165,192,227,192,165,231,219
Tax %,23,24,27,26,22,28,28,25
Net Profit,137,125,140,168,151,119,167,165
EPS in Rs,6.39,5.85,3.47,4.16,3.73,2.94,4.13,4.09
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,,,
Sales,4827,5468,4890,5404,5663,,,
Expenses,4256,4855,4075,4479,4720,,,
Operating Profit,571,613,815,925,943,,,
OPM %,12,11,17,17,17,,,
Other Income,59,69,41,32,10,,,
Interest,22,25,20,34,35,,,
Depreciation,101,104,103,108,111,,,
Profit before tax,508,553,733,816,808,,,
Tax %,25,25,25,26,—,,,
Net Profit,381,417,553,604,602,,,
EPS in Rs,17.8,19.46,13.68,14.95,14.89,,,
Dividend Payout %,41,46,82,172,—,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,,,,
Equity Capital,313,214,404,404,,,,
Reserves,895,766,1206,794,,,,
Borrowings,31,15,20,52,,,,
Other Liabilities,1190,1140,1202,1288,,,,
Total Liabilities,2429,2135,2831,2537,,,,
Fixed Assets,631,608,582,582,,,,
CWIP,18,37,31,58,,,,
Investments,1,1,0,0,,,,
Other Assets,1779,1490,2218,1897,,,,
Total Assets,2429,2135,2831,2537,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,,,,
Cash from Operating Activity,538,488,562,1429,,,,
Cash from Investing Activity,-13,-30,-27,-69,,,,
Cash from Financing Activity,-394,-686,-433,-1075,,,,
Net Cash Flow,130,-228,103,285,,,,
Free Cash Flow,475,391,500,1345,,,,
CFO/OP,118,98,93,190,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,,,,
Debtor Days,43,37,51,43,,,,
Inventory Days,42,31,31,35,,,,
Days Payable,100,86,100,111,,,,
Cash Conversion Cycle,-16,-18,-18,-33,,,,
Working Capital Days,-9,-7,-8,-4,,,,
ROCE %,—,52,57,61,,,,
