Item,Date,Document
,2026-09-10,[Announcement under Regulation 30 (LODR)-Strikes /Lockouts / Disturbances](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=91904d87-4fec-4ee9-a99d-cfd1889e0353.pdf)
,2026-09-09,[Reply To Clarification Sought By BSE](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=342a739c-f196-4ebe-81dd-c7c8b37f7374.pdf)
,2026-08-31,[Change In Senior Management Personnel](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1db947de-0c42-452a-b5d2-b86771405fc6.pdf)
,2026-08-29,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=806d672e-ef16-4c6a-8efb-6b437b900c37.pdf)
,2026-08-28,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=21ca70de-b07a-4e38-bf55-73bf466dcf7b.pdf)
,2026-08-27,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ffbbc410-2b2f-4f59-aa4e-c863b96a8a33.pdf)
,2026-08-25,[Reply To Clarification Sought From IDBI Bank Ltd.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cdc2d326-7fd2-4031-b28d-f2d4dd214adb.pdf)
,2026-08-21,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ae0971d2-575c-4f29-b2cf-b20d4f537e39.pdf)
,2026-07-22,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b5318dd5-28b0-4f2b-9727-d363047c6f61.pdf)
,2026-07-22,[Notice About Change In Designation Of Board Of Directors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5c004d6c-5a9c-41b6-9273-5742935aa2f7.pdf)
,Date,Document
,---,---
,5h - IDBI Bank clarifies Moneycontrol report on confidential strategic disinvestment; no new information from GOI.,[Rumour verification - Regulation 30(11) 5h - IDBI Bank clarifies Moneycontrol report on confidential strategic disinvestment; no new information from GOI.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/128f2f5f-3acc-4d42-ab6a-43ac4e852d98.pdf)
,"4 Apr - IDBI Bank’s total business rose 14% YoY to ₹6,00,536 crore as of 31 March 2026.","[Intimation Under SEBI (LODR) Regulations, 2015 4 Apr - IDBI Bank’s total business rose 14% YoY to ₹6,00,536 crore as of 31 March 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/cfc72609-7c70-4f03-a86b-fd330a0cf5f6.pdf)"
,30 Apr - Notice given to shareholders by advertisement regarding opening of special window for transfer and dematerialisation of physical securities and initiative under IEPF second 100 Days …,[Announcement under Regulation 30 (LODR)-Newspaper Publication 30 Apr - Notice given to shareholders by advertisement regarding opening of special window for transfer and dematerialisation of physical securities and initiative under IEPF second 100 Days …](https://www.bseindia.com/xml-data/corpfiling/AttachHis/28832e65-cd15-4f2f-914f-5e86ae087136.pdf)
,30 Apr - Notice given to shareholders by advertisement regarding opening of special window for transfer and dematerialisation of physical securities and initiative under IEPF second 100 Days …,[Announcement under Regulation 30 (LODR)-Newspaper Publication 30 Apr - Notice given to shareholders by advertisement regarding opening of special window for transfer and dematerialisation of physical securities and initiative under IEPF second 100 Days …](https://www.bseindia.com/xml-data/corpfiling/AttachLive/28832e65-cd15-4f2f-914f-5e86ae087136.pdf)
,"30 Apr - IDBI Bank reported FY26 net profit of ₹9,513 crore, up 27%, with total business crossing ₹6 trillion.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 30 Apr - IDBI Bank reported FY26 net profit of ₹9,513 crore, up 27%, with total business crossing ₹6 trillion.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/a01a08c9-b009-4e85-8755-72475f20e1db.pdf)"
,"30 Apr - IDBI Bank reported FY26 net profit of ₹9,513 crore, up 27%, with total business crossing ₹6 trillion.","[Announcement under Regulation 30 (LODR)-Press Release / Media Release 30 Apr - IDBI Bank reported FY26 net profit of ₹9,513 crore, up 27%, with total business crossing ₹6 trillion.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/a01a08c9-b009-4e85-8755-72475f20e1db.pdf)"
,"30 Apr - IDBI Bank filed its Annual Secretarial Compliance Report for year ended March 31, 2026; compliant.","[Compliances-Reg.24(A)-Annual Secretarial Compliance 30 Apr - IDBI Bank filed its Annual Secretarial Compliance Report for year ended March 31, 2026; compliant.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/311af604-9ddb-4f3e-a640-6ecdb2d6fbce.pdf)"
,"30 Apr - IDBI Bank filed its Annual Secretarial Compliance Report for year ended March 31, 2026; compliant.","[Compliances-Reg.24(A)-Annual Secretarial Compliance 30 Apr - IDBI Bank filed its Annual Secretarial Compliance Report for year ended March 31, 2026; compliant.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/311af604-9ddb-4f3e-a640-6ecdb2d6fbce.pdf)"
,"30 Apr - IDBI Bank appoints Abhijit Chakravorty and Ketan Vikamsey as additional independent directors from May 19 and June 26, 2026.","[Announcement under Regulation 30 (LODR)-Change in Directorate 30 Apr - IDBI Bank appoints Abhijit Chakravorty and Ketan Vikamsey as additional independent directors from May 19 and June 26, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachHis/5403d6e8-e1a2-456e-a855-453e012e0a8d.pdf)"
,"30 Apr - IDBI Bank appoints Abhijit Chakravorty and Ketan Vikamsey as additional independent directors from May 19 and June 26, 2026.","[Announcement under Regulation 30 (LODR)-Change in Directorate 30 Apr - IDBI Bank appoints Abhijit Chakravorty and Ketan Vikamsey as additional independent directors from May 19 and June 26, 2026.](https://www.bseindia.com/xml-data/corpfiling/AttachLive/5403d6e8-e1a2-456e-a855-453e012e0a8d.pdf)"
,Date,Document
,---,---
,2026-07-18,[Un-Audited Financial Results Of The Bank For Quarter Ended June 30 2026 And Limited Review Report Submitted By Statutory Auditors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=23c3bb43-e18d-4eb8-8187-d5fc9a3c2cf3.pdf)
,2026-04-30,[Audited Financial Results Of The Bank For The Quarter And Year Ended March 31 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=46db350f-4071-49c9-a2bf-4d8e0a8a800c.pdf)
,2026-01-17,[Un-Audited Financial Results For The Quarter And Nine Months Ended December 31 2025 And Limited Review Report Submitted By Statutory Auditors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e788db85-947f-4ba1-99a5-703a7c009102.pdf)
,2025-10-18,[Un-Audited Financial Results For The Quarter And Half Year Ended September 30 2025 And Limited Review Report Submitted By Statutory Auditors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=543a3e92-7c01-4d3d-8667-e1e1eaf969ea.pdf)
,2025-07-21,[Un-Audited Financial Results For The Quarter Ended June 30 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d85bf46c-f00a-46f1-aa31-42f9a9345e98.pdf)
,2025-04-28,[Audited Financial Results Of The Bank For Quarter And Year Ended March 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=41d58399-40eb-466f-8d6f-46e549b9fe32.pdf)
,2025-01-20,[Un-Audited Financial Results For The Quarter And Nine Months Ended December 31 2024 And Limited Review Report Submitted By Statutory Auditors.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5ee20fc3-9366-4ec6-b7fc-1916f1905734.pdf)
,2024-10-25,"[Un-Audited Financial Results For The Quarter And Half Year Ended September 30, 2024 And Limited Review Report Submitted By Statutory Auditors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6dfb436e-fa29-4d3b-94f1-91fc66accd27.pdf)"
,2024-07-22,"[Un-Audited Financial Results Of The Bank For Quarter Ended June 30, 2024 And Limited Review Report Submitted By Statutory Auditors](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d1a65e9d-1ff3-4245-a973-de22d1cd8fe0.pdf)"
,2024-05-04,"[Audited Financial Results For The Quarter And Year Ended March 31, 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a7fdae12-9e40-4629-a48e-d0168d118eab.pdf)"
,Date,Document
,---,---
,Oct 2022,[Concall - Oct 2022](https://www.bseindia.com/xml-data/corpfiling/AttachHis/77dda5c3-5821-4317-a736-6a848a8bb831.pdf)
,Oct 2021,[Concall - Oct 2021](https://www.bseindia.com/xml-data/corpfiling/AttachHis/eb8f2b63-72eb-4209-98c8-a342caf99289.pdf)
,Nov 2020,[Concall - Nov 2020](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=712c043a-21cb-4e08-9425-6c49728c2c4a.pdf)
,Nov 2020,[Concall - Nov 2020](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=428d07c5-82d0-4982-acef-6bb1157362a7.pdf)
,Nov 2020,[Concall - Nov 2020](https://www.bseindia.com/xml-data/corpfiling/AttachHis/712c043a-21cb-4e08-9425-6c49728c2c4a.pdf)
,Nov 2020,[Concall - Nov 2020](https://www.bseindia.com/xml-data/corpfiling/AttachHis/428d07c5-82d0-4982-acef-6bb1157362a7.pdf)
,Nov 2019,[Concall - Nov 2019](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=be79f2d9-a29d-4560-b66e-0a4b79f22ac0.pdf)
,Nov 2019,[Concall - Nov 2019](https://www.bseindia.com/xml-data/corpfiling/AttachHis/be79f2d9-a29d-4560-b66e-0a4b79f22ac0.pdf)
,Nov 2018,[Concall - Nov 2018](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c08eb34f-e08f-440b-bfe2-1c491ff18a34.PDF)
,Nov 2018,[Concall - Nov 2018](https://www.bseindia.com/xml-data/corpfiling/CorpAttachment/2018/11/c08eb34f-e08f-440b-bfe2-1c491ff18a34.PDF)
,Date,Document
,---,---
,from nse,[Annual Report 2012 from nse](https://archives.nseindia.com/annual_reports/AR_IDBI_2011_2012_31122012032222.zip)
,from bse,[Annual Report 2026 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/2452f761-2b8b-48bb-bf41-ea688e06836c.pdf)
,from bse,[Annual Report 2025 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/626c3ff2-18bf-4f80-8719-2f02a6908990.pdf)
,from bse,[Annual Report 2024 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/da8342e4-3d73-4a36-9e2b-a295adfa2526.pdf)
,from bse,[Annual Report 2023 from bse](https://www.bseindia.com/xml-data/corpfiling/AttachHis/b3f07559-8fe6-44ed-8059-74d3ad043736.pdf)
,from bse,[Annual Report 2022 from bse](https://www.bseindia.com/bseplus/AnnualReport/500116/73344500116.pdf)
,from bse,[Annual Report 2021 from bse](https://www.bseindia.com/bseplus/AnnualReport/500116/68933500116.pdf)
,from bse,[Annual Report 2020 from bse](https://www.bseindia.com/bseplus/AnnualReport/500116/5001160320.pdf)
,from bse,[Annual Report 2019 from bse](https://www.bseindia.com/bseplus/AnnualReport/500116/5001160319.pdf)
,from bse,[Annual Report 2018 from bse](https://www.bseindia.com/bseplus/AnnualReport/500116/5001160318.pdf)
,Date,Document
,---,---
,2022-10-27,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=77dda5c3-5821-4317-a736-6a848a8bb831.pdf)
,2022-07-25,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=343c8ced-c73c-43c5-a810-f86bc5a4cf52.pdf)
,2022-07-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a39d1632-b442-47dc-8be2-1e363d199df2.pdf)
,2022-05-05,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8b941444-eceb-4c23-a7aa-2ee1abb953be.pdf)
,Date,Document
,---,---
,2022-10-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=53246dee-83e8-465a-a4d9-ad34af1ee7f1.pdf)
,2022-07-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=927f78d9-4cf2-45c5-a97c-9cbcd1fadf95.pdf)
,2022-05-02,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7f581da5-32c5-4136-8aac-8bcf9d31025a.pdf)
,2022-01-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9819954b-071b-4493-a201-a12dfc2263dc.pdf)
,2021-10-21,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eb8f2b63-72eb-4209-98c8-a342caf99289.pdf)
,2021-07-28,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b0b9d4d2-eacc-49cd-9d73-382e548bbad7.pdf)
,2021-05-03,[Announcement under Regulation 30 (LODR)-Investor Presentation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2a50061d-cccb-4b5a-a0c9-075b68222bc2.pdf)
,Date,Document
,---,---
,2022-10-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f1ab2f21-b938-4a80-837e-a9422b285cf0.pdf)
,2022-05-02,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eccdc38b-347a-4226-9186-287c9edf4779.pdf)
