Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2624,2069,2596,2436,3136,2548,3140,2981,3670,3114,3727
Expenses,2197,1818,2231,2134,2631,2191,2681,2587,3065,2689,3182
Operating Profit,427,251,366,302,505,357,459,395,605,425,545
OPM %,16,12,14,12,16,14,15,13,16,14,15
Other Income,10,7,8,13,19,19,17,20,25,25,33
Interest,33,36,34,34,31,49,41,41,43,46,46
Depreciation,132,136,138,141,141,171,159,169,168,178,185
Profit before tax,272,85,201,141,352,156,276,204,419,225,346
Tax %,25,28,25,26,25,26,25,25,25,25,25
Net Profit,205,61,150,104,263,115,206,152,313,168,259
EPS in Rs,0.46,0.14,0.33,0.23,0.58,0.25,0.44,0.33,0.67,0.36,0.55
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,,,
Sales,5292,4452,5589,7586,8912,10716,12906,13493,,,
Expenses,4635,3827,4763,6542,7635,9153,10988,11524,,,
Operating Profit,657,625,826,1044,1276,1564,1918,1969,,,
OPM %,12,14,15,14,14,15,15,15,,,
Other Income,20,116,62,33,32,56,84,102,,,
Interest,236,232,213,185,170,180,204,177,,,
Depreciation,340,346,406,461,517,590,673,700,,,
Profit before tax,101,163,270,431,621,849,1125,1195,,,
Tax %,55,27,25,25,26,26,25,—,,,
Net Profit,45,119,203,321,462,632,839,892,,,
EPS in Rs,0.1,0.26,0.45,0.71,1.02,1.37,1.8,1.91,,,
Dividend Payout %,0,0,0,0,0,0,0,—,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,,,,
Equity Capital,4366,4484,4503,4507,4509,4597,4673,,,,
Reserves,-143,105,322,650,1113,1804,2740,,,,
Borrowings,793,770,1790,1462,1483,1729,1988,,,,
Other Liabilities,2377,2547,1603,1671,1401,1862,2048,,,,
Total Liabilities,7392,7905,8218,8289,8506,9993,11449,,,,
Fixed Assets,5736,4643,5802,5893,6183,6535,6882,,,,
CWIP,20,11,11,69,38,14,34,,,,
Investments,87,547,417,35,0,387,1119,,,,
Other Assets,1549,2704,1988,2293,2284,3057,3415,,,,
Total Assets,7392,7905,8218,8289,8506,9993,11449,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,557,1054,657,636,830,1399,1621,,,,
Cash from Investing Activity,-149,-695,27,177,-130,-610,-988,,,,
Cash from Financing Activity,-429,-276,-710,-865,-658,-479,-500,,,,
Net Cash Flow,-22,84,-26,-52,41,310,133,,,,
Free Cash Flow,387,950,500,417,583,1138,1299,,,,
CFO/OP,94,172,88,73,77,105,102,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,,,,
Debtor Days,0,0,0,0,1,2,1,,,,
Inventory Days,106,110,111,98,83,88,80,,,,
Days Payable,102,144,133,99,69,70,64,,,,
Cash Conversion Cycle,4,-34,-22,0,15,20,17,,,,
Working Capital Days,-17,-38,-40,-16,1,-3,-5,,,,
ROCE %,—,8,8,9,11,14,15,,,,
