Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,636,673,673,676,687,720,756,761,804,942,1003,1063
Expenses,515,524,534,548,561,589,608,606,664,783,840,889
Operating Profit,121,149,139,129,126,132,148,155,141,160,164,174
OPM %,19,22,21,19,18,18,20,20,17,17,16,16
Other Income,12,13,26,22,21,38,26,22,20,19,-10,29
Interest,12,12,12,12,4,3,3,4,4,5,7,6
Depreciation,20,18,18,20,19,20,21,22,23,40,42,44
Profit before tax,101,132,134,120,124,146,149,152,133,135,105,153
Tax %,25,25,29,27,26,25,21,23,23,24,24,24
Net Profit,75,99,95,88,92,110,118,116,102,103,80,116
EPS in Rs,3.38,4.45,4.26,3.67,3.83,4.58,4.9,4.85,4.25,4.28,3.31,4.82
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,553,643,966,1665,2306,2590,2839,3510,3813,,,
Expenses,511,499,736,1378,1910,2084,2292,2892,3175,,,
Operating Profit,42,144,230,287,396,505,548,619,638,,,
OPM %,8,22,24,17,17,20,19,18,17,,,
Other Income,7,-102,-3,-21,58,79,94,52,59,,,
Interest,6,9,7,6,31,49,22,19,22,,,
Depreciation,17,19,26,33,60,76,80,126,149,,,
Profit before tax,26,14,195,226,363,459,539,525,526,,,
Tax %,45,191,23,28,27,27,25,24,—,,,
Net Profit,14,-12,149,163,266,337,407,401,401,,,
EPS in Rs,89.98,-40.2,951.96,937.73,11.99,15.14,16.95,16.65,16.66,,,
Dividend Payout %,0,0,0,0,0,0,12,13,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,0.31,0.31,0.31,0.35,44,44,48,48,,,,
Reserves,73,-105,324,764,1020,1385,2568,3091,,,,
Borrowings,147,483,51,66,502,490,102,144,,,,
Other Liabilities,108,222,220,524,638,627,609,1337,,,,
Total Liabilities,329,600,596,1353,2204,2546,3326,4620,,,,
Fixed Assets,104,119,86,138,664,646,678,1812,,,,
CWIP,0,0,0,0,0,0,4,12,,,,
Investments,0,13,0,120,614,796,1290,1100,,,,
Other Assets,225,468,510,1096,926,1103,1355,1697,,,,
Total Assets,329,600,596,1353,2204,2546,3326,4620,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,65,22,172,297,130,508,442,651,,,,
Cash from Investing Activity,-18,-16,-81,-158,-896,-326,-677,-508,,,,
Cash from Financing Activity,-21,136,-132,233,333,-66,288,-83,,,,
Net Cash Flow,25,143,-40,373,-433,115,52,60,,,,
Free Cash Flow,48,16,151,272,111,497,412,606,,,,
CFO/OP,196,34,96,128,60,125,110,129,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,60,127,108,97,102,91,97,102,,,,
Cash Conversion Cycle,60,127,108,97,102,91,97,102,,,,
Working Capital Days,-7,-5,45,11,41,27,39,5,,,,
ROCE %,—,37,55,46,33,29,25,19,,,,
