Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1738,1801,1868,1911,2098,2251,2289,2263,2317,2360,2414,2510
Expenses,913,973,990,1035,1096,1099,1121,1102,1109,1105,1146,1188
Operating Profit,826,828,878,876,1002,1152,1168,1161,1208,1254,1267,1322
OPM %,48,46,47,46,48,51,51,51,52,53,52,53
Other Income,-246,62,49,358,49,-61,48,48,61,28,53,72
Interest,156,169,166,162,175,180,171,154,151,147,149,149
Depreciation,432,433,460,496,536,532,531,527,554,567,565,592
Profit before tax,-8,288,301,577,340,379,513,527,564,569,606,653
Tax %,2322,26,26,11,25,31,9,26,25,17,26,26
Net Profit,-184,213,223,511,253,261,468,392,421,474,447,482
EPS in Rs,-7.36,4.25,4.45,10.22,5.06,5.22,9.37,7.83,8.42,9.47,8.93,9.65
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,3614,3874,4602,5405,6579,7089,8548,9354,9601,,,
Expenses,3702,3376,3550,3591,3793,3728,4351,4463,4549,,,
Operating Profit,-89,499,1052,1814,2786,3361,4197,4890,5052,,,
OPM %,-2.5,13,23,34,42,47,49,52,53,,,
Other Income,222,-2158,-240,2040,140,-54,394,190,215,,,
Interest,248,526,517,572,639,644,688,601,596,,,
Depreciation,1009,1250,1285,1441,1553,1739,2094,2213,2278,,,
Profit before tax,-1123,-3435,-989,1841,734,923,1809,2266,2392,,,
Tax %,-36,-21,5,9,25,45,17,24,—,,,
Net Profit,-722,-2716,-1034,1675,549,504,1494,1733,1824,,,
EPS in Rs,-28.88,-108.66,-41.36,66.98,21.97,10.09,29.87,34.66,36.47,,,
Dividend Payout %,0,0,0,0,14,40,33,81,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,250,250,250,250,250,250,250,250,,,,
Reserves,5518,2770,1736,3410,3960,4389,5682,6915,,,,
Borrowings,2941,5191,7774,9068,9204,8105,7353,6137,,,,
Other Liabilities,2632,7224,5244,3945,4840,5774,5966,5748,,,,
Total Liabilities,11341,15435,15004,16674,18253,18517,19251,19051,,,,
Fixed Assets,9226,9874,10304,10234,11174,13615,14733,14038,,,,
CWIP,162,110,71,64,1936,444,297,476,,,,
Investments,0,625,0,49,1046,238,74,631,,,,
Other Assets,1952,4825,4629,6328,4097,4220,4147,3905,,,,
Total Assets,11341,15435,15004,16674,18253,18517,19251,19051,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,493,-316,1517,1258,5108,3546,4583,4464,,,,
Cash from Investing Activity,-1166,-1076,-882,-1382,-2031,-1155,-2341,-2010,,,,
Cash from Financing Activity,560,1864,-604,183,-3111,-2404,-2265,-2438,,,,
Net Cash Flow,-114,473,30,59,-34,-13,-23,16,,,,
Free Cash Flow,-675,-777,64,-76,4169,1498,3104,3026,,,,
CFO/OP,-653,-59,147,70,184,106,125,106,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,10,22,11,142,8,23,5,4,,,,
Cash Conversion Cycle,10,22,11,142,8,23,5,4,,,,
Working Capital Days,-135,-317,-438,-157,-243,-281,-215,-171,,,,
ROCE %,—,-9,-1,4,10,14,17,21,,,,
