Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2519,2850,2267,1502,1659,1828,1912,1918,2061,2194,2264,2448
Expenses,2750,3014,2734,2295,2063,2051,2000,1846,1921,2039,2132,2245
Operating Profit,-231,-163,-467,-794,-404,-223,-88,72,140,155,132,203
OPM %,-9,-6,-21,-53,-24,-12,-4.6,3.8,7,7,6,8
Other Income,139,149,132,138,1524,189,-299,224,32,212,199,182
Interest,7,5,5,4,3,4,5,4,5,4,5,7
Depreciation,180,201,196,178,179,165,150,166,137,133,132,131
Profit before tax,-279,-221,-536,-839,938,-203,-542,126,30,230,194,247
Tax %,5,0,3,0,1,2,1,2,30,2,6,11
Net Profit,-292,-222,-550,-840,930,-208,-545,123,21,225,183,220
EPS in Rs,-4.58,-3.46,-8.65,-13.19,14.58,-3.26,-8.47,1.93,0.33,3.52,2.87,3.44
Item,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,855,3224,3279,2801,4974,7990,9978,6900,8437,8967,,
Expenses,2523,7592,5964,4640,7358,9634,10921,8406,7936,8337,,
Operating Profit,-1668,-4368,-2685,-1838,-2384,-1644,-943,-1506,501,630,,
OPM %,-195,-135,-82,-66,-48,-21,-9,-22,6,7,,
Other Income,164,280,-45,356,288,410,314,1551,668,625,,
Interest,1,38,54,38,42,24,26,17,19,21,,
Depreciation,28,112,174,178,247,485,736,673,568,533,,
Profit before tax,-1534,-4237,-2958,-1698,-2385,-1743,-1390,-645,582,701,,
Tax %,0,0,-1,0,0,2,2,3,5,—,,
Net Profit,-1535,-4231,-2942,-1701,-2396,-1776,-1422,-663,552,649,,
EPS in Rs,-331.99,-726.78,-470.27,-280.42,-36.9,-28.02,-22.3,-10.33,8.64,10.16,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,30,46,58,60,60,65,63,64,64,64,,
Reserves,354,2751,5667,8045,6474,14087,12952,13263,14963,15962,,
Borrowings,0,15,932,428,612,222,223,177,160,172,,
Other Liabilities,316,637,2107,1769,2004,3618,4727,5190,6261,7717,,
Total Liabilities,701,3450,8764,10302,9151,17991,17966,18693,21448,23915,,
Fixed Assets,47,81,841,594,491,914,1209,1247,890,906,,
CWIP,11,59,56,15,24,12,11,14,15,11,,
Investments,112,2308,2849,3740,413,1230,2697,4628,4172,4501,,
Other Assets,530,1002,5018,5954,8223,15836,14048,12804,16371,18497,,
Total Assets,701,3450,8764,10302,9151,17991,17966,18693,21448,23915,,
Item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-334,-1405,-4476,-2377,-2082,-1236,416,651,-121,-743,,
Cash from Investing Activity,-20,-2229,1906,-1997,1934,-5484,2628,338,-2031,2006,,
Cash from Financing Activity,459,3938,2110,5160,-222,8054,-1112,-22,-53,-50,,
Net Cash Flow,104,304,-460,786,-371,1334,1931,967,-2205,1213,,
Free Cash Flow,-372,-1515,-4651,-2563,-2270,-1741,-281,-161,-438,-1211,,
CFO/OP,93,87,98,88,123,46,-36,-81,9,-142,,
Item,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,100,53,29,34,61,55,57,60,69,51,,
Cash Conversion Cycle,100,53,29,34,61,55,57,60,69,51,,
Working Capital Days,12,-83,195,116,289,162,61,-18,-119,-123,,
ROCE %,—,-101,—,-34,-21,-22,-12,-8,-10,5,,
