Item,Date,Document
,2026-09-05,[Completion Of USFDA Inspection](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9419d34f-c8a6-4e64-93f5-a5dd40c9264b.pdf)
,2026-09-03,[Board Meeting Outcome for Outcome Of The Committee Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4ce15234-2524-46fe-baf5-22174155050f.pdf)
,2026-09-03,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=628560b4-24d4-4ed3-9290-628badf88ddf.pdf)
,2026-08-27,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ca7e056-f11d-41c7-8bd1-ac294f2e0efd.pdf)
,2026-08-27,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f48ba4e4-7f71-4b81-89d5-aa684f8afa05.pdf)
,2026-08-26,[Notice Of AGM 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d4ba1801-933e-402b-a65a-9d7a6034f83f.pdf)
,2026-08-26,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=57785e14-bc4d-4ed1-979b-86c824dcebcd.pdf)
,2026-08-26,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d9597425-7413-4027-8906-5c3bc248d83d.pdf)
,2026-08-13,[Announcement under Regulation 30 (LODR)-Credit Rating](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1847944b-afad-4fe2-aca2-5d3055a97f6c.pdf)
,2026-08-12,[Disclosures under Reg. 29(2) of SEBI (SAST) Regulations 2011](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=928962EB_EC38_40BB_B0CA_23F7C96B9566_111006.pdf)
,Date,Document
,---,---
,2026-08-05,[Outcome Of The Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=78cbe2ab-9a8e-42c3-87f0-dd31191486af.pdf)
,2026-05-12,[Outcome Of The Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=43652fb8-efba-455e-9cbd-757b3f823843.pdf)
,2026-02-12,[Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0397614a-7158-46d8-b89a-ba9953de9bbe.pdf)
,2025-11-12,[Outcome Of The Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2f2980fa-adb3-449f-9e81-839ea46ed7b1.pdf)
