Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,496,488,471,554,462,518,534,595,538,602,657,756
Expenses,456,454,438,508,493,491,507,549,490,536,580,646
Operating Profit,40,34,33,46,-31,26,27,46,48,65,77,110
OPM %,8,7,7,8,-7,5,5,8,9,11,12,15
Other Income,7,11,19,19,20,19,21,24,20,16,19,23
Interest,2,3,3,3,3,3,3,3,3,3,3,3
Depreciation,6,8,10,9,11,13,12,11,12,11,11,10
Profit before tax,39,35,39,52,-24,29,32,56,53,67,82,119
Tax %,25,25,22,23,-24,12,22,26,26,25,15,24
Net Profit,29,26,30,40,-19,26,25,41,39,50,69,90
EPS in Rs,2.16,0.8,0.94,1.24,-0.57,0.8,0.77,1.27,1.21,1.54,2.13,2.77
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,
---,---,---,---,---,---,---,---,,,,,
Sales,460,943,1493,1920,2067,2392,2553,,,,,
Expenses,1794,932,1470,1782,1998,2156,2252,,,,,
Operating Profit,-1334,12,23,138,69,236,300,,,,,
OPM %,-290,1.2,1.5,7,3.3,10,12,,,,,
Other Income,12,21,-132,49,79,79,77,,,,,
Interest,1,3,7,9,13,13,13,,,,,
Depreciation,2,7,25,31,45,44,44,,,,,
Profit before tax,-1325,22,-141,147,90,257,321,,,,,
Tax %,1,36,7,25,19,22,—,,,,,
Net Profit,-1332,14,-151,111,73,200,249,,,,,
EPS in Rs,-1306098.04,15262.14,-10.47,3.45,2.24,6.15,7.65,,,,,
Dividend Payout %,0,0,0,0,0,49,—,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Equity Capital,0.01,0.01,136,324,325,325,,,,,,
Reserves,-1765,-1087,-1323,771,855,1086,,,,,,
Borrowings,1954,1853,1885,131,136,135,,,,,,
Other Liabilities,114,271,288,413,492,545,,,,,,
Total Liabilities,303,1036,986,1640,1808,2092,,,,,,
Fixed Assets,21,342,252,299,302,489,,,,,,
CWIP,0,2,0,0,0,0,,,,,,
Investments,164,339,260,292,305,272,,,,,,
Other Assets,117,354,474,1049,1201,1331,,,,,,
Total Assets,303,1036,986,1640,1808,2092,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Cash from Operating Activity,30,45,-52,235,102,141,,,,,,
Cash from Investing Activity,-21,-505,40,-470,-145,-17,,,,,,
Cash from Financing Activity,-1,481,-14,337,-31,-38,,,,,,
Net Cash Flow,8,21,-26,102,-74,86,,,,,,
Free Cash Flow,29,42,-63,224,82,134,,,,,,
CFO/OP,-3,470,-172,194,142,85,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Debtor Days,27,28,32,30,23,30,,,,,,
Inventory Days,114,86,99,83,105,84,,,,,,
Days Payable,221,219,161,185,212,193,,,,,,
Cash Conversion Cycle,-80,-105,-30,-71,-84,-78,,,,,,
Working Capital Days,-2,-12,8,-10,-17,27,,,,,,
ROCE %,—,5,3,16,8,19,,,,,,
