Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2109,2115,2233,2185,2326,2300,2510,2494,2762,2887,3335,3407
Expenses,1856,1853,1941,1946,2076,2063,2238,2250,2482,2625,3061,3149
Operating Profit,253,262,291,239,250,238,271,244,280,262,274,258
OPM %,12,12,13,11,11,10,11,10,10,9,8,8
Other Income,1,1,4,5,5,1,2,1,1,1,1,5
Interest,7,6,6,5,7,7,6,6,6,7,6,8
Depreciation,36,38,39,40,44,47,48,49,53,56,57,60
Profit before tax,210,219,250,198,203,185,220,190,221,200,212,195
Tax %,26,23,24,25,25,24,25,25,25,25,21,26
Net Profit,156,168,191,149,152,140,165,143,165,149,167,145
EPS in Rs,0.24,0.25,0.29,0.22,0.23,0.21,0.25,0.22,0.25,0.23,0.25,0.22
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,
---,---,---,---,---,---,---,---,,,,,
Sales,3938,5635,7068,8327,9319,11478,12391,,,,,
Expenses,3385,4905,6276,7315,8323,10417,11316,,,,,
Operating Profit,553,730,792,1012,996,1060,1074,,,,,
OPM %,14,13,11,12,11,9,9,,,,,
Other Income,24,-35,12,8,13,4,8,,,,,
Interest,7,28,28,27,25,26,28,,,,,
Depreciation,37,106,124,147,179,216,227,,,,,
Profit before tax,532,561,652,846,806,822,828,,,,,
Tax %,26,27,25,25,25,24,—,,,,,
Net Profit,396,411,487,638,606,625,627,,,,,
EPS in Rs,—,0.62,0.73,0.96,0.91,0.94,0.95,,,,,
Dividend Payout %,0,65,59,55,26,62,—,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Equity Capital,0.1,316,442,442,442,663,,,,,,
Reserves,0,799,888,1235,1256,1498,,,,,,
Borrowings,96,283,373,259,269,233,,,,,,
Other Liabilities,1693,1164,1195,1203,1761,2351,,,,,,
Total Liabilities,1789,2562,2898,3139,3729,4746,,,,,,
Fixed Assets,170,432,579,600,691,779,,,,,,
CWIP,0,32,27,24,37,2,,,,,,
Investments,0,0,0,0,0,0,,,,,,
Other Assets,1620,2097,2292,2516,3002,3965,,,,,,
Total Assets,1789,2562,2898,3139,3729,4746,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Cash from Operating Activity,11,501,224,791,365,761,,,,,,
Cash from Investing Activity,-28,-101,-194,-208,-60,-200,,,,,,
Cash from Financing Activity,25,-144,-287,-452,-457,-510,,,,,,
Net Cash Flow,8,256,-257,131,-153,52,,,,,,
Free Cash Flow,-17,400,26,680,194,561,,,,,,
CFO/OP,23,95,51,100,56,92,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Debtor Days,63,43,41,39,49,60,,,,,,
Inventory Days,116,97,95,76,77,82,,,,,,
Days Payable,109,92,73,62,71,93,,,,,,
Cash Conversion Cycle,69,47,64,54,55,48,,,,,,
Working Capital Days,49,31,42,39,32,44,,,,,,
ROCE %,—,88,44,48,43,39,,,,,,
