Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,228,277,370,425,275,311,457,484,352
Expenses,162,163,184,198,173,175,222,219,224
Operating Profit,66,114,187,227,101,136,235,266,128
OPM %,29,41,50,53,37,44,51,55,36
Other Income,12,23,33,38,27,23,7,10,9
Interest,119,122,117,99,86,38,39,40,39
Depreciation,38,39,31,31,26,27,29,30,33
Profit before tax,-79,-25,71,135,16,93,174,206,64
Tax %,-5,107,21,13,45,20,15,17,24
Net Profit,-75,-51,56,117,9,75,148,172,49
EPS in Rs,—,—,—,4.25,0.26,2.24,4.43,5.14,1.46
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,,,,
Sales,860,1171,1301,1527,1604,,,,
Expenses,479,623,706,787,840,,,,
Operating Profit,381,548,595,741,764,,,,
OPM %,44,47,46,48,48,,,,
Other Income,43,55,106,64,48,,,,
Interest,360,436,459,204,157,,,,
Depreciation,125,148,140,113,119,,,,
Profit before tax,-61,19,102,488,537,,,,
Tax %,2,111,53,17,—,,,,
Net Profit,-62,-2,48,403,443,,,,
EPS in Rs,—,—,1.73,12.07,13.27,,,,
Dividend Payout %,0,0,0,0,—,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,,,,,
Equity Capital,20,20,276,334,,,,,
Reserves,-2532,-2846,3280,6070,,,,,
Borrowings,3883,4453,4142,1811,,,,,
Other Liabilities,4504,5434,568,709,,,,,
Total Liabilities,5876,7062,8266,8924,,,,,
Fixed Assets,5259,6212,6305,7208,,,,,
CWIP,27,39,131,229,,,,,
Investments,0,0,14,646,,,,,
Other Assets,589,811,1816,841,,,,,
Total Assets,5876,7062,8266,8924,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,,,,,
Cash from Operating Activity,318,539,553,777,,,,,
Cash from Investing Activity,-85,-786,-5730,-637,,,,,
Cash from Financing Activity,-318,147,5236,-170,,,,,
Net Cash Flow,-84,-100,59,-30,,,,,
Free Cash Flow,233,419,345,262,,,,,
CFO/OP,86,104,95,111,,,,,
Item,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,,,,,
Debtor Days,30,23,25,19,,,,,
Cash Conversion Cycle,30,23,25,19,,,,,
Working Capital Days,-65,-1666,-76,-66,,,,,
ROCE %,—,30,12,9,,,,,
