Item,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,3667,3884,4007,4144,4266,4465,4545,4674,4745,4938
Expenses,1368,1560,1561,1809,1858,1942,2017,2058,1997,2075
Financing Profit,922,828,847,689,758,784,835,912,1066,1110
Financing Margin %,25,21,21,17,18,18,18,20,22,22
Other Income,0,0,0,0,0,0,0,0,0,0
Interest,1377,1496,1598,1645,1650,1740,1694,1704,1682,1753
Depreciation,40,44,48,49,54,51,52,51,54,55
Profit before tax,882,784,799,641,704,732,782,860,1011,1055
Tax %,26,26,26,26,25,22,26,25,26,26
Net Profit,656,582,591,472,531,568,581,644,751,785
EPS in Rs,8.27,7.33,7.44,5.95,6.67,6.84,7.01,7.76,9.04,9.46
Gross NPA %,1.9,—,2.1,2.25,2.26,2.56,2.81,2.81,2.44,—
Net NPA %,—,—,—,0.9,0.99,1.11,1.27,1.25,1.09,1.04
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,,,
Revenue,10945,11312,12403,14173,16300,18431,18902,,,
Expenses,6451,6540,6153,5817,6745,7980,8147,,,
Financing Profit,610,1446,2738,3449,3122,3595,3922,,,
Financing Margin %,6,13,22,24,19,20,21,,,
Other Income,-2,0,1,1,0,1,0,,,
Interest,3883,3326,3512,4907,6433,6856,6834,,,
Depreciation,108,99,112,145,194,209,213,,,
Profit before tax,501,1348,2627,3305,2928,3386,3709,,,
Tax %,22,25,25,26,26,25,—,,,
Net Profit,391,1011,1959,2461,2176,2544,2761,,,
EPS in Rs,4.96,12.8,24.76,31.03,27.34,30.64,33.27,,,
Dividend Payout %,0,8,8,10,11,13,—,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,,,,
Equity Capital,789,790,791,793,796,830,,,,
Reserves,7657,8749,10646,12950,15024,19834,,,,
Borrowing,50359,48973,54865,74331,89682,99230,,,,
Other Liabilities,3836,3513,3748,4483,3161,3757,,,,
Total Liabilities,62641,62026,70050,92557,108663,123651,,,,
Fixed Assets,317,293,387,511,735,773,,,,
CWIP,0,0,0,0,0,0,,,,
Investments,1593,2234,1243,3380,2060,3748,,,,
Other Assets,60731,59500,68420,88665,105868,119130,,,,
Total Assets,62641,62026,70050,92557,108663,123651,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,,,,
Cash from Operating Activity,-342,1987,-6851,-16736,-13626,-8606,,,,
Cash from Investing Activity,131,-703,973,-2146,1159,-1772,,,,
Cash from Financing Activity,608,-1500,5796,19134,12770,10673,,,,
Net Cash Flow,398,-216,-81,252,303,296,,,,
Free Cash Flow,-366,1947,-6960,-16858,-13834,-8747,,,,
CFO/OP,-12,42,-99,-191,-135,-74,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,,,,
ROE %,5,11,19,20,15,14,,,,
