Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,277,926,1846,2023,1522,2120,2838,3365,3390,3008,3879,3662
Expenses,350,1335,2801,2424,1963,2776,3129,2958,3183,2910,3073,3262
Operating Profit,-72,-409,-956,-401,-441,-656,-291,408,207,98,806,400
OPM %,-26,-44,-52,-20,-29,-31,-10,12,6,3.2,21,11
Other Income,13,16,90,21,13,18,19,20,21,19,26,43
Interest,41,134,155,153,161,165,172,134,128,128,96,126
Depreciation,75,226,252,239,240,253,221,258,283,252,249,242
Profit before tax,-175,-753,-1273,-772,-829,-1056,-664,36,-183,-264,486,74
Tax %,-25,-25,-32,-29,-28,-28,-29,29,-37,-8,19,32
Net Profit,-131,-568,-861,-547,-595,-758,-473,26,-115,-244,392,51
EPS in Rs,-0.45,-1.94,-2.94,-1.87,-2.03,-2.59,-1.62,0.09,-0.39,-0.83,1.34,0.17
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,0,0,0,0,3049,8503,13642,13938,,,,
Expenses,0,0,0,0,4485,10291,12123,12428,,,,
Operating Profit,0,0,0,0,-1436,-1788,1518,1510,,,,
OPM %,—,—,—,—,-47,-21,11,11,,,,
Other Income,0,0,0,0,119,72,86,109,,,,
Interest,0,0,0,0,331,652,487,479,,,,
Depreciation,0,0,0,0,553,953,1042,1026,,,,
Profit before tax,0,0,0,0,-2201,-3322,76,114,,,,
Tax %,0,0,—,—,-29,-29,23,—,,,,
Net Profit,0,0,0,0,-1560,-2374,59,84,,,,
EPS in Rs,—,—,—,0,-5.32,-8.1,0.2,0.29,,,,
Dividend Payout %,0,0,—,—,0,0,0,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,0.06,0.06,0,2931,2931,2931,2931,,,,,
Reserves,0,0,17049,14118,12558,10184,10243,,,,,
Borrowings,0,0,1691,3842,6662,5909,4613,,,,,
Other Liabilities,0,0,1765,4678,7218,9444,10451,,,,,
Total Liabilities,0,0,20504,25568,29368,28467,28237,,,,,
Fixed Assets,0,0,1132,1118,20273,20131,19452,,,,,
CWIP,0,0,17038,19545,1215,717,570,,,,,
Investments,0,0,0,0,0,0,0,,,,,
Other Assets,0,0,2334,4904,7881,7619,8215,,,,,
Total Assets,0,0,20504,25568,29368,28467,28237,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,0,0,743,1516,-2825,1966,1796,,,,,
Cash from Investing Activity,0,0,-1891,-2189,-228,-506,109,,,,,
Cash from Financing Activity,0,0,1144,1293,2439,-1460,-1902,,,,,
Net Cash Flow,0,0,-4,620,-614,0,2,,,,,
Free Cash Flow,0,0,-1148,-639,-3409,1538,1525,,,,,
CFO/OP,100,100,—,—,196,-110,118,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,—,—,—,—,4,8,5,,,,,
Inventory Days,—,—,—,—,420,148,160,,,,,
Days Payable,—,—,—,—,284,234,248,,,,,
Cash Conversion Cycle,—,—,—,—,141,-77,-83,,,,,
Working Capital Days,—,—,—,—,-92,-213,-175,,,,,
ROCE %,—,-200,0,0,-9,-13,3,,,,,
