Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,277,288,298,367,380,383,426,528
Expenses,294,290,317,381,459,425,545,626
Operating Profit,-16,-2,-19,-13,-79,-42,-120,-97
OPM %,-6,-0.7,-6,-3.6,-21,-11,-28,-18
Other Income,27,30,32,31,33,36,37,33
Interest,3,3,3,3,3,3,3,3
Depreciation,10,9,9,10,10,12,14,16
Profit before tax,-2,16,1,6,-59,-21,-100,-84
Tax %,0,-1315,301,-23,0,1,61,10
Net Profit,-2,232,-3,7,-59,-21,-161,-92
EPS in Rs,-93.43,11870.97,-0.06,0.14,-0.41,-0.15,-1.05,-0.6
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---,---
Sales,219,248,438,637,828,1144,1556,1717
Expenses,391,503,987,1000,974,1184,1809,2055
Operating Profit,-173,-256,-549,-364,-146,-40,-254,-338
OPM %,-79,-103,-126,-57,-18,-3.5,-16,-20
Other Income,44,42,72,90,100,116,137,138
Interest,8,10,8,8,10,11,12,12
Depreciation,19,26,28,31,37,37,45,52
Profit before tax,-155,-249,-514,-312,-93,29,-175,-264
Tax %,0,0,0,0,0,-740,34,—
Net Profit,-155,-249,-514,-312,-93,240,-235,-334
EPS in Rs,-11782.84,-14926.95,-27791.35,-16890.81,-5009.18,4.9,-1.52,-2.21
Dividend Payout %,0,0,0,0,0,0,0,—
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Equity Capital,0.01,0.02,0.02,0.02,0.02,49,146,
Reserves,631,454,1551,1339,1292,1746,1997,
Borrowings,0,0,0,102,104,120,136,
Other Liabilities,182,193,243,195,248,294,439,
Total Liabilities,813,647,1794,1636,1645,2210,2718,
Fixed Assets,126,92,87,121,117,127,158,
CWIP,0,0,0,0,0,0,0,
Investments,479,371,922,1009,762,1091,1262,
Other Assets,208,185,785,506,766,992,1298,
Total Assets,813,647,1794,1636,1645,2210,2718,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Cash from Operating Activity,-139,-141,-315,-238,-86,55,-99,
Cash from Investing Activity,66,111,-1087,299,95,-200,-278,
Cash from Financing Activity,220,-23,1383,-25,-30,164,435,
Net Cash Flow,147,-54,-19,36,-20,19,59,
Free Cash Flow,-145,-145,-326,-253,-94,44,-139,
CFO/OP,80,54,57,65,56,-148,38,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Debtor Days,2,5,6,6,9,8,9,
Inventory Days,91,102,118,67,100,87,103,
Days Payable,206,394,393,308,262,190,204,
Cash Conversion Cycle,-113,-288,-269,-234,-153,-94,-93,
Working Capital Days,-55,-105,-62,-17,-7,-38,22,
ROCE %,—,-44,-51,-20,-6,2,-8,
