Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,339,525,498,483,540,550,423,611,418
Expenses,218,330,338,288,349,332,266,344,268
Operating Profit,121,195,160,195,191,218,157,267,151
OPM %,36,37,32,40,35,40,37,44,36
Other Income,19,28,24,14,23,48,8,52,25
Interest,4,4,3,1,2,3,0,2,1
Depreciation,19,20,20,30,26,34,35,40,30
Profit before tax,118,200,161,178,186,230,130,278,145
Tax %,30,19,23,54,27,24,29,32,17
Net Profit,82,162,124,83,136,173,93,190,120
EPS in Rs,1.47,2.9,2.22,1.48,2.42,3.09,1.65,3.38,2.13
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,
---,---,---,---,---,---,---,---,---,
Sales,633,1103,1231,1057,1419,1845,2124,2002,
Expenses,451,695,666,626,914,1173,1290,1209,
Operating Profit,182,408,565,431,506,672,834,793,
OPM %,29,37,46,41,36,36,39,40,
Other Income,21,37,49,139,63,85,131,133,
Interest,20,17,10,9,10,11,7,6,
Depreciation,62,62,58,64,82,89,134,138,
Profit before tax,121,366,546,497,477,657,824,783,
Tax %,23,26,26,23,23,31,28,—,
Net Profit,93,271,406,385,367,451,592,576,
EPS in Rs,110.62,319.74,462.09,6.75,6.57,8.07,10.54,10.25,
Dividend Payout %,0,0,0,0,0,0,19,—,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,,
Equity Capital,8,8,9,114,112,112,112,,
Reserves,413,693,1346,1627,1813,2298,2930,,
Borrowings,159,100,35,126,239,113,54,,
Other Liabilities,207,232,228,148,235,284,333,,
Total Liabilities,787,1034,1619,2014,2398,2808,3429,,
Fixed Assets,306,361,329,449,483,705,783,,
CWIP,50,19,154,164,345,297,264,,
Investments,99,209,273,499,472,433,1007,,
Other Assets,333,445,863,902,1099,1373,1374,,
Total Assets,787,1034,1619,2014,2398,2808,3429,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,,
Cash from Operating Activity,166,278,333,306,140,271,844,,
Cash from Investing Activity,-109,-196,-205,-376,-221,-147,-702,,
Cash from Financing Activity,-48,-63,181,64,-77,-136,-40,,
Net Cash Flow,9,18,308,-6,-158,-12,103,,
Free Cash Flow,119,159,307,112,-156,12,637,,
CFO/OP,116,85,81,98,51,64,126,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,,
Debtor Days,61,84,97,95,126,89,101,,
Inventory Days,186,29,52,139,129,167,56,,
Days Payable,87,50,50,77,61,54,34,,
Cash Conversion Cycle,160,63,99,156,193,202,124,,
Working Capital Days,20,27,75,112,128,134,92,,
ROCE %,—,55,51,28,24,28,30,,
