Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,384,439,280,396,440,580,496,537,556,602,554
Expenses,287,315,254,293,320,422,375,392,369,426,406
Operating Profit,96,125,26,102,120,158,121,146,188,177,148
OPM %,25,28,9,26,27,27,24,27,34,29,27
Other Income,11,3,8,10,9,10,10,15,0,16,4
Interest,23,21,21,21,23,11,12,9,10,8,8
Depreciation,31,31,31,36,34,37,38,40,44,45,46
Profit before tax,53,76,-18,55,72,119,81,112,134,139,98
Tax %,25,26,-25,25,25,26,25,25,25,25,25
Net Profit,40,56,-14,42,54,88,60,84,100,104,73
EPS in Rs,—,—,—,—,2.59,4.24,2.9,4,4.75,4.92,3.45
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,,
Sales,695,726,760,870,1217,1465,1695,2192,2250,,
Expenses,520,558,593,743,1048,1178,1285,1559,1592,,
Operating Profit,176,168,167,126,169,287,410,634,658,,
OPM %,25,23,22,15,14,20,24,29,29,,
Other Income,6,18,27,28,27,29,35,40,35,,
Interest,24,22,33,54,81,88,78,41,35,,
Depreciation,44,55,80,90,99,119,139,167,175,,
Profit before tax,113,109,82,10,16,109,228,466,483,,
Tax %,35,30,25,36,39,24,25,25,—,,
Net Profit,73,76,61,6,10,83,170,349,362,,
EPS in Rs,—,—,—,—,—,—,8.16,16.48,17.12,,
Dividend Payout %,0,0,0,1117,676,0,0,0,—,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,,,
Equity Capital,16,16,17,18,18,18,21,21,,,
Reserves,703,778,845,861,870,957,2108,2463,,,
Borrowings,249,304,637,752,933,928,352,288,,,
Other Liabilities,247,312,318,527,358,359,665,841,,,
Total Liabilities,1215,1410,1817,2157,2179,2262,3146,3613,,,
Fixed Assets,373,641,701,751,1037,1180,1488,1815,,,
CWIP,116,91,246,410,151,107,124,270,,,
Investments,0,0,0,0,2,2,2,50,,,
Other Assets,726,679,870,997,989,973,1531,1477,,,
Total Assets,1215,1410,1817,2157,2179,2262,3146,3613,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,129,116,-36,105,219,263,314,509,,,
Cash from Investing Activity,-158,-262,-260,-102,-99,-191,-536,-395,,,
Cash from Financing Activity,268,-4,296,72,-201,-95,301,-124,,,
Net Cash Flow,239,-150,-1,75,-80,-24,79,-9,,,
Free Cash Flow,-28,-157,-298,-102,148,82,-55,-83,,,
CFO/OP,90,81,-13,90,132,96,82,86,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,,,
Debtor Days,123,136,99,102,85,64,76,62,,,
Inventory Days,86,79,127,179,121,72,93,97,,,
Days Payable,207,258,230,279,180,113,253,182,,,
Cash Conversion Cycle,1,-43,-4,2,25,22,-83,-24,,,
Working Capital Days,55,24,62,42,36,12,66,70,,,
ROCE %,—,13,9,3,6,11,14,20,,,
